loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.6525515913963318,0.5883233547210693,0.31609195470809937,0.7482993006706238,0.5592228770256042,0.8083832263946533,0.5471698045730591,0.7837837934494019
0.5461346507072449,0.7470059990882874,0.4556451737880707,0.7687074542045593,0.4337746202945709,0.8383233547210693,0.5961538553237915,0.837837815284729
0.43498101830482483,0.8143712282180786,0.5502183437347412,0.8571428656578064,0.3216548562049866,0.8443113565444946,0.6170212626457214,0.7837837934494019
0.3572280704975128,0.8517963886260986,0.6176470518112183,0.8571428656578064,0.2768253982067108,0.8682634830474854,0.6595744490623474,0.837837815284729
0.32551082968711853,0.8517963886260986,0.6142857074737549,0.8775510191917419,0.24879154562950134,0.886227548122406,0.7045454382896423,0.837837815284729
0.28152820467948914,0.871257483959198,0.6532663106918335,0.884353756904602,0.2453548014163971,0.8742514848709106,0.6739130616188049,0.837837815284729
0.2506656348705292,0.8817365169525146,0.6634615659713745,0.9387755393981934,0.23638835549354553,0.8982036113739014,0.717391312122345,0.8918918967247009
0.23548783361911774,0.9071856141090393,0.7374301552772522,0.8979591727256775,0.251502126455307,0.8802395462989807,0.6734693646430969,0.8918918967247009
0.23230701684951782,0.886227548122406,0.6783919334411621,0.918367326259613,0.23009756207466125,0.8982036113739014,0.7631579041481018,0.7837837934494019
0.2152368426322937,0.908682644367218,0.7362637519836426,0.9115646481513977,0.24672025442123413,0.8802395462989807,0.6888889074325562,0.837837815284729
0.19469794631004333,0.917664647102356,0.7473118305206299,0.9455782175064087,0.23316167294979095,0.8922155499458313,0.7435897588729858,0.7837837934494019
0.1877800077199936,0.9191616773605347,0.7540983557701111,0.9387755393981934,0.23949845135211945,0.886227548122406,0.7045454382896423,0.837837815284729
0.1657617688179016,0.923652708530426,0.7637362480163574,0.9455782175064087,0.2372460961341858,0.8802395462989807,0.7297297120094299,0.7297297120094299
0.17753838002681732,0.9056886434555054,0.7164948582649231,0.9455782175064087,0.24777233600616455,0.886227548122406,0.7368420958518982,0.7567567825317383
0.16683955490589142,0.9281437397003174,0.7861271500587463,0.9251700639724731,0.2721749544143677,0.886227548122406,0.7045454382896423,0.837837815284729
0.15075083076953888,0.9266467094421387,0.7752808928489685,0.9387755393981934,0.26539862155914307,0.886227548122406,0.7250000238418579,0.7837837934494019
0.15615129470825195,0.92514967918396,0.7803468108177185,0.918367326259613,0.25926297903060913,0.8982036113739014,0.75,0.8108108043670654
0.1636800765991211,0.916167676448822,0.7407407164573669,0.9523809552192688,0.2560521066188812,0.8802395462989807,0.7297297120094299,0.7297297120094299
0.155051589012146,0.93113774061203,0.7729730010032654,0.9727891087532043,0.2685171961784363,0.8682634830474854,0.692307710647583,0.7297297120094299
0.12459984421730042,0.955089807510376,0.8545454740524292,0.9591836929321289,0.27602946758270264,0.8802395462989807,0.7179487347602844,0.7567567825317383
0.1357591152191162,0.92514967918396,0.7650273442268372,0.9523809552192688,0.2772946059703827,0.8742514848709106,0.699999988079071,0.7567567825317383
0.12952737510204315,0.947604775428772,0.8333333134651184,0.9523809552192688,0.2722395062446594,0.8802395462989807,0.707317054271698,0.7837837934494019
0.115667924284935,0.947604775428772,0.8146067261695862,0.9863945841789246,0.2656506896018982,0.8922155499458313,0.7567567825317383,0.7567567825317383
0.09824523329734802,0.9565868377685547,0.8390804529190063,0.9931972622871399,0.2833499312400818,0.8922155499458313,0.7567567825317383,0.7567567825317383
0.11363014578819275,0.9520958065986633,0.8402366638183594,0.9659863710403442,0.3147544264793396,0.886227548122406,0.7142857313156128,0.8108108043670654
0.11501758545637131,0.947604775428772,0.8294117450714111,0.9591836929321289,0.318634569644928,0.886227548122406,0.7647058963775635,0.7027027010917664
0.09755415469408035,0.9595808386802673,0.8529411554336548,0.9863945841789246,0.29874908924102783,0.8922155499458313,0.7567567825317383,0.7567567825317383
0.09187919646501541,0.9730538725852966,0.9056603908538818,0.9795918464660645,0.30677664279937744,0.8802395462989807,0.707317054271698,0.7837837934494019
0.072283536195755,0.9640718698501587,0.8682634830474854,0.9863945841789246,0.3237195909023285,0.886227548122406,0.75,0.7297297120094299
